id,out_of_range,quality_grade,captive_cultivated,latitude,longitude,positional_accuracy,coordinates_obscured,scientific_name,iconic_taxon_name
13251,false,research,false,-24.9816380516,31.5666013956,,false,Halcyon albiventris,Aves
19651,,research,false,-25.6922755477,27.1636962891,,false,Halcyon albiventris,Aves
53879,,research,false,-33.5015859984,26.8417447075,,false,Halcyon albiventris albiventris,Aves
118737,,research,false,-33.5634793,26.1477598,10013,false,Halcyon albiventris albiventris,Aves
163305,false,research,false,-27.665893405,31.6660308838,1162,false,Halcyon albiventris,Aves
167512,,research,false,-23.8536033,31.5753616,1984,false,Halcyon albiventris vociferans,Aves
266207,,research,false,-23.863077,31.57033,60,false,Halcyon albiventris vociferans,Aves
498420,false,research,false,-28.372602,32.414163,2250,false,Halcyon albiventris,Aves
518281,false,research,false,-29.6585387448,31.1994722334,6827,true,Halcyon albiventris,Aves
566055,false,research,false,-18.041503,35.199165,226,false,Halcyon albiventris,Aves
608535,false,research,false,-18.174408,35.137645,,false,Halcyon albiventris,Aves
697481,false,research,false,-19.116667,33.45,10524,false,Halcyon albiventris,Aves
746158,false,research,false,-16.070929,28.869485,11,false,Halcyon albiventris,Aves
845716,false,research,false,-24.991669,31.608533,50,false,Halcyon albiventris,Aves
849407,false,research,false,-18.045,35.206,,false,Halcyon albiventris,Aves
889998,false,research,false,-29.778812,31.022784,784,false,Halcyon albiventris,Aves
1041942,false,research,false,-28.948898,31.775723,29,false,Halcyon albiventris,Aves
1084969,false,research,false,-26.844669,32.88948,14,false,Halcyon albiventris,Aves
1124741,false,research,false,-18.040462,35.201979,,false,Halcyon albiventris,Aves
1297372,false,research,false,-24.981771,31.566688,50,false,Halcyon albiventris,Aves
1303111,,research,false,-34.055068,23.078928,,false,Halcyon albiventris albiventris,Aves
1615292,false,research,false,-25.973082,32.591157,699,false,Halcyon albiventris,Aves
1658354,false,research,false,-18.9905,34.196556,2000,false,Halcyon albiventris,Aves
1658356,false,research,false,-18.980161,34.352672,30,false,Halcyon albiventris,Aves
1685986,false,research,false,-24.998373,31.592388,20000,false,Halcyon albiventris,Aves
1732199,false,research,false,-27.646984,32.240332,9261,false,Halcyon albiventris,Aves
1752620,false,research,false,-29.765619,31.02921,1651,false,Halcyon albiventris,Aves
2732776,false,research,false,-27.84492,32.33448,1466,false,Halcyon albiventris,Aves
2803574,false,research,false,-14.841319,35.35218,,false,Halcyon albiventris,Aves
3868457,false,research,false,-17.999632,25.026855,39875,false,Halcyon albiventris,Aves
3975448,false,research,false,-28.091469,32.116641,,false,Halcyon albiventris,Aves
4608450,false,research,false,-23.107838875,31.4186668396,4601,false,Halcyon albiventris,Aves
4971608,false,research,false,-23.807596236,31.596403385,,false,Halcyon albiventris,Aves
5141155,false,research,false,-26.8912947,32.1926511384,,false,Halcyon albiventris,Aves
5141164,false,research,false,-27.622765582,32.2942353319,,false,Halcyon albiventris,Aves
5182131,false,research,false,-26.8437391452,32.8892263768,150,false,Halcyon albiventris,Aves
5276613,false,research,false,-28.0380464194,32.2888183594,7813,false,Halcyon albiventris,Aves
5635851,false,research,false,-24.522501069,27.5088085749,,false,Halcyon albiventris,Aves
5635853,false,research,false,-22.1834999416,29.4338309858,,false,Halcyon albiventris,Aves
5635855,false,research,false,-24.44928,28.70614,,false,Halcyon albiventris,Aves
6792699,,research,false,-24.0766607286,31.0924873769,19,false,Halcyon albiventris vociferans,Aves
7061695,false,research,false,-14.853095,35.318816,8480,false,Halcyon albiventris,Aves
7642876,false,research,false,-27.6288606801,32.2365763805,,false,Halcyon albiventris,Aves
7643222,false,research,false,-27.6288536277,32.2365792517,,false,Halcyon albiventris,Aves
7677581,,research,false,-32.2335677649,25.4680681229,122,false,Halcyon albiventris albiventris,Aves
7678404,,research,false,-25.0756484456,31.728515625,15625,false,Halcyon albiventris vociferans,Aves
7687224,,research,false,-32.202052803,24.5366334915,122,false,Halcyon albiventris albiventris,Aves
7748738,false,research,false,-28.3475972904,32.4094963074,244,false,Halcyon albiventris,Aves
7888769,false,research,false,-27.66368887,32.3005771637,122,false,Halcyon albiventris,Aves
7992168,false,research,false,-25.4035849732,31.5592575073,1454,false,Halcyon albiventris,Aves
8007174,false,research,false,-25.3330687957,27.1468305588,,false,Halcyon albiventris,Aves
8086384,,research,false,-25.3588797374,31.8923449516,31,false,Halcyon albiventris vociferans,Aves
8277775,false,research,false,-27.87945,32.279109,2000,false,Halcyon albiventris,Aves
8293232,false,research,false,-27.8475807,32.3334608,2000,false,Halcyon albiventris,Aves
8448969,false,research,false,-25.343716,28.351593,202,false,Halcyon albiventris,Aves
8451715,false,research,false,-17.9318052,25.8255575,2975,false,Halcyon albiventris,Aves
8506925,true,research,false,-33.4744052404,21.1698152684,4,false,Halcyon albiventris,Aves
8630111,,research,false,-30.2965732338,30.7453143597,4,false,Halcyon albiventris albiventris,Aves
8696031,false,research,false,-17.832971,25.694941,50,false,Halcyon albiventris,Aves
8713805,false,research,false,-29.8580047752,30.7244860434,99,false,Halcyon albiventris,Aves
8786018,false,research,false,-29.5790432228,31.180705045,37,false,Halcyon albiventris,Aves
8807764,,research,false,-24.5572162161,25.9637009508,6,false,Halcyon albiventris vociferans,Aves
8848172,false,research,false,-25.32325,27.056,50,false,Halcyon albiventris,Aves
8848173,,research,false,-25.4265555556,31.4508888889,50,false,Halcyon albiventris vociferans,Aves
8917386,,research,false,-23.78764,28.05728,5,false,Halcyon albiventris vociferans,Aves
8958811,false,research,false,-14.8510055556,35.2942805556,,false,Halcyon albiventris,Aves
8994019,,research,false,-30.299193546,30.7447514216,4,false,Halcyon albiventris albiventris,Aves
8995178,false,research,false,-14.8474889817,35.292634964,879,false,Halcyon albiventris,Aves
9000478,,research,false,-24.8181337369,28.0666565895,4,false,Halcyon albiventris vociferans,Aves
9041868,,research,false,-32.6713153694,27.052153945,15,false,Halcyon albiventris albiventris,Aves
9065445,false,research,false,-14.8654638889,35.2954305556,,false,Halcyon albiventris,Aves
9106931,true,research,false,-25.7564590528,28.3182739466,1,false,Halcyon albiventris,Aves
9176225,false,research,false,-30.3019320528,30.7404783368,4,false,Halcyon albiventris,Aves
9256800,false,research,false,-17.8792578048,25.8683495523,61,false,Halcyon albiventris,Aves
9354967,false,research,false,-28.0678424722,32.3059081944,,false,Halcyon albiventris,Aves
9360808,false,research,false,-25.7331644315,28.0233104154,18,false,Halcyon albiventris,Aves
9384303,,research,false,-28.372,32.3912,100,false,Halcyon albiventris albiventris,Aves
9392498,,research,false,-23.1167719132,31.4548255946,1000,false,Halcyon albiventris vociferans,Aves
9484890,false,research,false,-15.7799749374,34.9890708923,,false,Halcyon albiventris,Aves
9562399,false,research,false,-17.9164265547,25.8174741268,80,false,Halcyon albiventris,Aves
9699450,,research,false,-27.56054,31.265261,20,false,Halcyon albiventris albiventris,Aves
9761351,false,research,false,-33.4833333,25.75,84754,false,Halcyon albiventris,Aves
9882033,false,research,false,-18.9542572473,32.6844848235,206,false,Halcyon albiventris,Aves
9903883,false,research,false,-23.7492530586,27.9849243164,1953,false,Halcyon albiventris,Aves
9933699,,research,false,-34.017277,20.437593,5,false,Halcyon albiventris vociferans,Aves
9963132,,research,false,-30.2989539381,30.7474279404,8,false,Halcyon albiventris albiventris,Aves
9975483,false,research,false,-33.7501937379,26.5296254904,10,false,Halcyon albiventris,Aves
9976837,false,research,false,-17.8597543099,25.7982265949,15,false,Halcyon albiventris,Aves
10042137,,research,false,-24.7054084,28.3875,5,false,Halcyon albiventris vociferans,Aves
10372626,false,research,false,-23.87012,35.47648,222,false,Halcyon albiventris,Aves
10543325,false,research,false,-23.10963,31.43305,,false,Halcyon albiventris,Aves
10546613,,research,false,-23.1967725585,31.2560912913,,false,Halcyon albiventris vociferans,Aves
10696398,true,research,false,-25.7482188257,28.3239588228,8,false,Halcyon albiventris,Aves
10797622,,research,false,-34.1784869612,19.7006919043,1,true,Halcyon albiventris albiventris,Aves
10804459,false,research,false,-22.4243,31.2458,1,false,Halcyon albiventris,Aves
10809269,false,research,false,-28.6584,32.15047,1,false,Halcyon albiventris,Aves
10822008,,research,false,-33.481,21.61,110,false,Halcyon albiventris albiventris,Aves
10824396,,research,false,-34.07946,19.68303,1,false,Halcyon albiventris albiventris,Aves
10827548,,research,false,-22.178,29.476,110,false,Halcyon albiventris vociferans,Aves
10828727,,research,false,-25.123,31.916,110,false,Halcyon albiventris vociferans,Aves
10831060,,research,false,-24.0055948,31.7403163,1,false,Halcyon albiventris vociferans,Aves
10835365,,research,false,-26.0887971,27.8428531,1,false,Halcyon albiventris vociferans,Aves
10849546,,research,false,-24.9811,31.5712,1,false,Halcyon albiventris vociferans,Aves
10852518,,research,false,-28.7305,29.3512,1,false,Halcyon albiventris albiventris,Aves
10858107,,research,false,-26.0887971,27.8428531,1,false,Halcyon albiventris vociferans,Aves
10868538,,research,false,-25.2294,27.0323,1,false,Halcyon albiventris vociferans,Aves
10868544,,research,false,-30.3012,30.7427,1,false,Halcyon albiventris albiventris,Aves
10872517,,research,false,-32.965165,27.926275,1,false,Halcyon albiventris albiventris,Aves
10882758,,research,false,-33.7805,20.1139,1,false,Halcyon albiventris albiventris,Aves
10893288,true,research,false,-26.0887971,27.8428531,1,false,Halcyon albiventris,Aves
10894688,,research,false,-25.48,30.98,1100,false,Halcyon albiventris vociferans,Aves
10897928,false,research,false,-29.78307,30.84075,1,false,Halcyon albiventris,Aves
10915645,,research,false,-34.32267,21.36675,1,false,Halcyon albiventris albiventris,Aves
10922173,,research,false,-25.775262,28.21435,1,false,Halcyon albiventris vociferans,Aves
10925561,,research,false,-27.622765582,32.2942353319,1,false,Halcyon albiventris vociferans,Aves
10927000,,research,false,-26.8912947,32.1926511384,1,false,Halcyon albiventris vociferans,Aves
10927039,true,research,false,-25.6032203859,29.217054721,1,true,Halcyon albiventris,Aves
10935816,,research,false,-32.965394,27.926412,1,false,Halcyon albiventris albiventris,Aves
10940061,,research,false,-32.965201,27.926403,1,false,Halcyon albiventris albiventris,Aves
10941706,,research,false,-25.34893,27.05519,1,false,Halcyon albiventris vociferans,Aves
10946147,,research,false,-25.0683180018,29.3819421906,1,true,Halcyon albiventris vociferans,Aves
10948612,,research,false,-32.30452,28.82816,1,false,Halcyon albiventris albiventris,Aves
10949523,,research,false,-25.3827,31.8818,1,false,Halcyon albiventris vociferans,Aves
10958037,,research,false,-26.0887971,27.8428531,1,false,Halcyon albiventris vociferans,Aves
10958745,,research,false,-33.947049,22.462948,1,false,Halcyon albiventris albiventris,Aves
10958799,false,research,false,-30.29948,30.74273,1,false,Halcyon albiventris,Aves
10960721,,research,false,-33.5000594167,26.5736097222,1,false,Halcyon albiventris albiventris,Aves
10960886,,research,false,-33.94243,22.46239,1,false,Halcyon albiventris albiventris,Aves
10961585,,research,false,-30.29948,30.74273,1,false,Halcyon albiventris albiventris,Aves
10968679,,research,false,-33.5042382222,26.5698583056,1,false,Halcyon albiventris albiventris,Aves
10973425,false,research,false,-28.59888,31.76627,1,false,Halcyon albiventris,Aves
10979566,,research,false,-24.557137,25.9640823,1,false,Halcyon albiventris vociferans,Aves
10983117,,research,false,-23.807596236,31.596403385,1,false,Halcyon albiventris vociferans,Aves
10995020,,research,false,-32.2201267,24.5393908,1,false,Halcyon albiventris albiventris,Aves
10998269,false,research,false,-27.52939,32.64469,1,false,Halcyon albiventris,Aves
10999569,,research,false,-30.29926,30.74294,1,false,Halcyon albiventris albiventris,Aves
11000186,,research,false,-25.76037,29.31584,1,false,Halcyon albiventris vociferans,Aves
11000583,,research,false,-25.754311,29.317462,1,false,Halcyon albiventris vociferans,Aves
11003482,false,research,false,-27.794383,32.039963,1,false,Halcyon albiventris,Aves
11003757,,research,false,-24.5571931,25.9637524,1,false,Halcyon albiventris vociferans,Aves
11004133,,research,false,-33.4451287,25.7468757,1,false,Halcyon albiventris albiventris,Aves
11006593,,research,false,-25.7593613,29.318068,1,false,Halcyon albiventris vociferans,Aves
11007364,,research,false,-33.9437,22.4622,1,false,Halcyon albiventris albiventris,Aves
11016339,,research,false,-25.343335,27.053795,1,false,Halcyon albiventris vociferans,Aves
11020831,,research,false,-32.96487,26.80817,1,false,Halcyon albiventris albiventris,Aves
11024633,,research,false,-25.0307716667,31.058125,1,false,Halcyon albiventris vociferans,Aves
11032158,,research,false,-31.626601,29.545069,1,false,Halcyon albiventris albiventris,Aves
11034612,,research,false,-33.94317,22.46234,1,false,Halcyon albiventris albiventris,Aves
11035951,,research,false,-23.22,31.54136,1,false,Halcyon albiventris vociferans,Aves
11037471,,research,false,-28.3948,31.9327,1,false,Halcyon albiventris vociferans,Aves
11044903,,research,false,-26.780383,27.545267,1,false,Halcyon albiventris vociferans,Aves
11047343,,research,false,-27.5499679,32.6709259,1,false,Halcyon albiventris vociferans,Aves
11049166,,research,false,-23.6845,28.27103,1,false,Halcyon albiventris vociferans,Aves
11072924,,research,false,-26.1975,31.999,1,false,Halcyon albiventris vociferans,Aves
11072960,,research,false,-26.215895,31.999768,1,false,Halcyon albiventris vociferans,Aves
11074827,false,research,false,-26.215694,31.9965753,1,false,Halcyon albiventris,Aves
11075509,,research,false,-25.3585,31.8643,1,false,Halcyon albiventris vociferans,Aves
11078126,,research,false,-32.2201,24.5394,1,false,Halcyon albiventris albiventris,Aves
11078578,,research,false,-33.40908,26.4459,1,false,Halcyon albiventris albiventris,Aves
11082767,,research,false,-25.7753,28.2143,1,false,Halcyon albiventris vociferans,Aves
11082817,,research,false,-25.775262,28.21435,1,false,Halcyon albiventris vociferans,Aves
11093821,false,research,false,-22.98,29.6237,1,false,Halcyon albiventris,Aves
11095386,,research,false,-33.4451,25.7469,1,false,Halcyon albiventris albiventris,Aves
11095796,,research,false,-33.99786,22.66301,1,false,Halcyon albiventris albiventris,Aves
11108400,,research,false,-34.0549,23.0788,1,false,Halcyon albiventris albiventris,Aves
11109849,,research,false,-33.94369,22.46233,1,false,Halcyon albiventris albiventris,Aves
11114431,false,research,false,-25.7208,27.8415,1,false,Halcyon albiventris,Aves
11117174,,research,false,-27.6213884,32.2312005,1,false,Halcyon albiventris albiventris,Aves
11135271,,research,false,-33.2136884203,25.2474960138,110,true,Halcyon albiventris albiventris,Aves
11140201,,research,false,-30.29948,30.74273,1,false,Halcyon albiventris albiventris,Aves
11146991,,research,false,-30.0212,25.632,1,false,Halcyon albiventris vociferans,Aves
11148291,,research,false,-30.2828,30.7482,1,false,Halcyon albiventris albiventris,Aves
11154663,,research,false,-26.7705,27.5804,1,false,Halcyon albiventris albiventris,Aves
11157959,,research,false,-34.05294387,19.60719734,1,false,Halcyon albiventris albiventris,Aves
11159413,,research,false,-28.0276,32.3508,1,false,Halcyon albiventris vociferans,Aves
11171092,,research,false,-33.9421583333,22.4625233333,1,false,Halcyon albiventris albiventris,Aves
11173651,false,research,false,-30.2987,30.743,1,false,Halcyon albiventris,Aves
11179746,,research,false,-31.47363,28.62859,1,false,Halcyon albiventris albiventris,Aves
11179973,,research,false,-30.2991,30.74726,1,false,Halcyon albiventris albiventris,Aves
11181036,,research,false,-30.280981,30.7531635,1,false,Halcyon albiventris albiventris,Aves
11187854,,research,false,-24.772,28.0215,1,false,Halcyon albiventris albiventris,Aves
11188186,,research,false,-28.0458649027,32.4308570437,110,true,Halcyon albiventris vociferans,Aves
11189326,,research,false,-26.2112635,31.9994024,1,false,Halcyon albiventris vociferans,Aves
11191531,,research,false,-32.6974049167,28.3338761667,1,false,Halcyon albiventris albiventris,Aves
11191709,,research,false,-29.360717,31.301725,1,false,Halcyon albiventris vociferans,Aves
11198058,,research,false,-34.0227158,22.8089795,1,false,Halcyon albiventris albiventris,Aves
11203982,,research,false,-26.2112635,31.9994024,1,false,Halcyon albiventris vociferans,Aves
11205467,,research,false,-23.8529,31.5756,1,false,Halcyon albiventris vociferans,Aves
11219085,,research,false,-30.30078,30.74971,1,false,Halcyon albiventris albiventris,Aves
11235310,,research,false,-33.9159,20.0807,1,false,Halcyon albiventris albiventris,Aves
11242531,,research,false,-30.2991,30.74726,1,false,Halcyon albiventris albiventris,Aves
11249823,,research,false,-33.966464,22.09085,1,false,Halcyon albiventris albiventris,Aves
11256725,,research,false,-33.9475,22.4461,1,false,Halcyon albiventris albiventris,Aves
11263745,,research,false,-23.621,30.198,110,false,Halcyon albiventris vociferans,Aves
11272098,,research,false,-28.3762,32.418,1,false,Halcyon albiventris albiventris,Aves
11273267,,research,false,-33.389,25.82,110,false,Halcyon albiventris albiventris,Aves
11277229,,research,false,-33.939908,22.476879,1,false,Halcyon albiventris albiventris,Aves
11281169,,research,false,-34.10318,19.66863,1,false,Halcyon albiventris albiventris,Aves
11298624,,research,false,-25.4861,31.5484,1,false,Halcyon albiventris vociferans,Aves
11307843,false,research,false,-28.30503,32.45325,1,false,Halcyon albiventris,Aves
11309345,,research,false,-30.2951,30.7407,1,false,Halcyon albiventris albiventris,Aves
11311790,false,research,false,-30.256006,30.770915,1,false,Halcyon albiventris,Aves
11316804,,research,false,-30.3017,30.7435,1,false,Halcyon albiventris albiventris,Aves
11348411,,research,false,-33.947,22.4631566667,1,false,Halcyon albiventris albiventris,Aves
11357568,,research,false,-33.5026881,26.8301081,2400,false,Halcyon albiventris vociferans,Aves
11364596,,research,false,-32.965377,27.926303,1,false,Halcyon albiventris albiventris,Aves
11412573,,research,false,-25.1562782117,31.9340801239,50,false,Halcyon albiventris vociferans,Aves
11720633,false,research,false,-30.2819959499,30.7453089952,8,false,Halcyon albiventris,Aves
11975625,false,research,false,-15.9546343967,28.9166164398,15,false,Halcyon albiventris,Aves
12154236,,research,false,-23.1064626043,31.4308547974,542,false,Halcyon albiventris vociferans,Aves
12187665,,research,false,-30.3750966838,30.6991910934,8,false,Halcyon albiventris albiventris,Aves
12235956,false,research,false,-22.1871585179,29.2013766708,16,false,Halcyon albiventris,Mammalia
12404618,,research,false,-30.3006907967,30.7440027595,4,false,Halcyon albiventris albiventris,Aves
12423919,false,research,false,-28.2867,32.3741,200,false,Halcyon albiventris,Aves
12428783,false,research,false,-24.7785766667,31.4149816667,0,false,Halcyon albiventris,Aves
12477856,false,research,false,-25.2293769,27.0323305,22892,false,Halcyon albiventris,Aves
12633268,false,research,false,-24.6409537985,25.8777871215,84,false,Halcyon albiventris,Aves
13039606,,research,false,-28.3208,32.3627,50,false,Halcyon albiventris albiventris,Aves
13041718,,research,false,-28.3243,32.389,50,false,Halcyon albiventris albiventris,Aves
13229561,,research,false,-30.2971599882,30.7437619564,4,false,Halcyon albiventris vociferans,Aves
13288821,,research,false,-29.8241516766,30.9266574804,42,false,Halcyon albiventris albiventris,Aves
13329489,,research,false,-29.8260872067,30.9291198689,7,false,Halcyon albiventris albiventris,Aves
13367583,false,research,false,-17.910323,30.78474,10,false,Halcyon albiventris,Aves
13368030,false,research,false,-17.910425,30.788539,20,false,Halcyon albiventris,Aves
13384408,,research,false,-25.7574018,28.319287719,215,false,Halcyon albiventris vociferans,Aves
13607998,false,research,false,-25.6752462215,28.0040921393,688,true,Halcyon albiventris,Aves
13687647,,research,false,-30.2996485459,30.7440139363,4,false,Halcyon albiventris albiventris,Aves
13876198,,research,false,-30.3016113534,30.7438163573,4,false,Halcyon albiventris albiventris,Aves
13908199,,research,false,-23.9534025733,31.2935624392,62500,false,Halcyon albiventris vociferans,Aves
13928667,,research,false,-30.3894255415,30.6807286487,8,false,Halcyon albiventris albiventris,Aves
14254397,,research,false,-17.8782480556,25.799345,,false,Halcyon albiventris orientalis,Aves
14341412,,research,false,-29.6017025107,30.3389543295,11,false,Halcyon albiventris albiventris,Aves
14345261,,research,false,-23.8415007331,30.1895678258,15,false,Halcyon albiventris vociferans,Aves
14387884,,research,false,-27.583,32.0007,100,false,Halcyon albiventris vociferans,Aves
14387906,,research,false,-27.583,32.0007,100,false,Halcyon albiventris vociferans,Aves
14420401,,research,false,-25.4981653702,31.4793714143,4,false,Halcyon albiventris vociferans,Aves
14438819,,research,false,-29.6092151306,30.3305960362,1,false,Halcyon albiventris albiventris,Aves
14470488,,research,false,-30.2929137846,30.7467730472,4,false,Halcyon albiventris albiventris,Aves
14686960,true,research,false,-26.0269766667,27.9686283333,3,false,Halcyon albiventris,Aves
14729806,false,research,false,-29.8245116667,30.9253116667,,false,Halcyon albiventris,Aves
14752088,true,research,false,-28.5348823516,29.7832743998,15,false,Halcyon albiventris,Aves
14880766,false,research,false,-15.719204,29.367973,5,false,Halcyon albiventris,Aves
14887103,false,research,false,-18.4964990417,35.8924174304,4,false,Halcyon albiventris,Aves
14945719,false,research,false,-29.9034233333,30.899245,3,false,Halcyon albiventris,Aves
14978482,,research,false,-25.2747,31.62163,5,false,Halcyon albiventris vociferans,Aves
15018803,false,research,false,-25.2380966667,31.5992283333,,false,Halcyon albiventris,Aves
15018815,,research,false,-25.1661733333,31.2685583333,,false,Halcyon albiventris albiventris,Aves
15066772,false,research,false,-17.8588359027,25.797135115,31,false,Halcyon albiventris,Aves
15201753,false,research,false,-28.1026461296,32.0412243765,649,false,Halcyon albiventris,Aves
15218704,,research,false,-30.2985374893,30.7474049648,4,false,Halcyon albiventris albiventris,Aves
